Associated Gene Name	Ensembl Gene ID
Olfr1251	ENSMUSG00000100323
Tshz1	ENSMUSG00000046982
Gm38357	ENSMUSG00000103313
Gm37378	ENSMUSG00000102346
Gm12089	ENSMUSG00000085165
Gm18711	ENSMUSG00000105666
Caln1	ENSMUSG00000060371
Gm15395	ENSMUSG00000085688
Gm27024	ENSMUSG00000098153
Ldhal6b	ENSMUSG00000101959
Olfml1	ENSMUSG00000051041
Gm14816	ENSMUSG00000082505
Trav8-1	ENSMUSG00000076831
Ifi204	ENSMUSG00000073489
Mycs	ENSMUSG00000044597
Gm17798	ENSMUSG00000098147
Grxcr1	ENSMUSG00000068082
BC028777	ENSMUSG00000085185
Cd164	ENSMUSG00000019818
Bend7	ENSMUSG00000048186
Gm14366	ENSMUSG00000082326
Dgcr8	ENSMUSG00000022718
Spc25	ENSMUSG00000005233
Gc	ENSMUSG00000035540
Ncf4	ENSMUSG00000071715
Zfp746	ENSMUSG00000057691
1810012K08Rik	ENSMUSG00000087595
Gm37990	ENSMUSG00000103795
C330006A16Rik	ENSMUSG00000087679
Gm11218	ENSMUSG00000081941
Gm43743	ENSMUSG00000105506
Gm16340	ENSMUSG00000090222
Gm20638	ENSMUSG00000093410
Gm37557	ENSMUSG00000103095
Ercc6l2	ENSMUSG00000021470
Gm7168	ENSMUSG00000067941
Gm21366	ENSMUSG00000103919
Gm7897	ENSMUSG00000102187
Gm7356	ENSMUSG00000101361
Grin3b	ENSMUSG00000035745
Gm364	ENSMUSG00000079584
Gm38050	ENSMUSG00000102433
Pcna-ps1	ENSMUSG00000083682
Necab3	ENSMUSG00000027489
Gm43060	ENSMUSG00000104976
Gm7358	ENSMUSG00000101307
Gm13530	ENSMUSG00000086939
Trav9-1	ENSMUSG00000096900
Tspan7	ENSMUSG00000058254
Gm12236	ENSMUSG00000086460
Fbxo21	ENSMUSG00000032898
Wipf2	ENSMUSG00000038013
Tmem33	ENSMUSG00000037720
A330070K13Rik	ENSMUSG00000052014
Gm15843	ENSMUSG00000085812
Glra1	ENSMUSG00000000263
March4	ENSMUSG00000039372
Ccdc71l	ENSMUSG00000090946
Gm13237	ENSMUSG00000095865
Olfr1374-ps1	ENSMUSG00000083312
Them5	ENSMUSG00000028148
Gm13233	ENSMUSG00000083038
Gm12203	ENSMUSG00000081296
Btn1a1	ENSMUSG00000000706
Shisa5	ENSMUSG00000025647
Shcbp1	ENSMUSG00000022322
Clip2	ENSMUSG00000063146
Ctps2	ENSMUSG00000031360
Gm11207	ENSMUSG00000081663
Lrp5	ENSMUSG00000024913
4930507D10Rik	ENSMUSG00000086703
Gm37996	ENSMUSG00000103339
Inca1	ENSMUSG00000057054
Gm15750	ENSMUSG00000083921
Fam47e	ENSMUSG00000057068
Gm33954	ENSMUSG00000103812
Ndufab1	ENSMUSG00000030869
Sypl	ENSMUSG00000020570
Sik2	ENSMUSG00000037112
Rps19	ENSMUSG00000040952
9930014A18Rik	ENSMUSG00000097493
Calhm2	ENSMUSG00000033033
Bckdk	ENSMUSG00000030802
Gm3931	ENSMUSG00000083711
Fam84b	ENSMUSG00000072568
Gm11895	ENSMUSG00000084018
Gm5627	ENSMUSG00000093812
Igfbp3	ENSMUSG00000020427
Ctse	ENSMUSG00000004552
Platr20	ENSMUSG00000086646
Gm33206	ENSMUSG00000102574
Gm42419	ENSMUSG00000093639
Mannr	ENSMUSG00000102590
Gm38999	ENSMUSG00000097437
Lim2	ENSMUSG00000004613
Gm12237	ENSMUSG00000083363
Acot12	ENSMUSG00000021620
Uqcrfs1	ENSMUSG00000038462
Mnda	ENSMUSG00000026536
Rnf5	ENSMUSG00000015478
Leng9	ENSMUSG00000043432
Kctd8	ENSMUSG00000037653
Gm16630	ENSMUSG00000097434
Ahdc1	ENSMUSG00000037692
Hs3st1	ENSMUSG00000051022
Zfp637	ENSMUSG00000059689
Habp2	ENSMUSG00000025075
Gm37281	ENSMUSG00000102884
Leng8	ENSMUSG00000035545
Pisd	ENSMUSG00000023452
Tmem28	ENSMUSG00000071719
Fam212b	ENSMUSG00000048458
Gm20463	ENSMUSG00000092395
Gm37538	ENSMUSG00000104259
Mndal	ENSMUSG00000090272
Manea	ENSMUSG00000040520
Gm5644	ENSMUSG00000100104
Gm21917	ENSMUSG00000096111
4833422C13Rik	ENSMUSG00000074782
4930519D14Rik	ENSMUSG00000086263
Gm43235	ENSMUSG00000106174
Gm37947	ENSMUSG00000103610
Fam186a	ENSMUSG00000045350
Gm13523	ENSMUSG00000087496
Gm36958	ENSMUSG00000102204
Mrps18a	ENSMUSG00000023967
Bhmt-ps1	ENSMUSG00000096105
Trav6-5	ENSMUSG00000096149
Gm9023	ENSMUSG00000106257
Gm13240	ENSMUSG00000096366
Gm28621	ENSMUSG00000100924
Slc2a6	ENSMUSG00000036067
Gm12466	ENSMUSG00000083539
Gm18552	ENSMUSG00000100290
1700003F12Rik	ENSMUSG00000038523
Gm5931	ENSMUSG00000068200
Vmn2r-ps16	ENSMUSG00000095460
Gm12467	ENSMUSG00000082267
Hnf1aos1	ENSMUSG00000086054
Gm20773	ENSMUSG00000095900
Trav10	ENSMUSG00000096551
Gm14470	ENSMUSG00000083262
Gm11903	ENSMUSG00000082573
Dmtf1	ENSMUSG00000042508
Clec4b2	ENSMUSG00000067767
Gm7166	ENSMUSG00000105919
Gm13534	ENSMUSG00000053472
2210016L21Rik	ENSMUSG00000029559
Gm14480	ENSMUSG00000081308
Gm11219	ENSMUSG00000080805
4930529C04Rik	ENSMUSG00000086377
Gng2-ps1	ENSMUSG00000081985
Pik3r6	ENSMUSG00000046207
Actl10	ENSMUSG00000078129
Trav6-6	ENSMUSG00000095862
Gm36398	ENSMUSG00000102174
Stmn2	ENSMUSG00000027500
Cage1	ENSMUSG00000044566
Slc27a2	ENSMUSG00000027359
Gm6366	ENSMUSG00000106534
9130204L05Rik	ENSMUSG00000091175
Gm43515	ENSMUSG00000104715
Rsph9	ENSMUSG00000023966
Gm5883	ENSMUSG00000083713
Syna	ENSMUSG00000085957
Hapln2	ENSMUSG00000004894
Trav11	ENSMUSG00000096615
Gm37441	ENSMUSG00000102583
Trav7-5	ENSMUSG00000106620
Foxj1	ENSMUSG00000034227
Myc	ENSMUSG00000022346
Gm37561	ENSMUSG00000104048
Ifi203	ENSMUSG00000039997
Npffr2	ENSMUSG00000035528
Sos2	ENSMUSG00000034801
Gm36728	ENSMUSG00000104404
Hnf1a	ENSMUSG00000029556
Mtif2	ENSMUSG00000020459
Pum2	ENSMUSG00000020594
Gm9457	ENSMUSG00000095600
G6pc3	ENSMUSG00000034793
Amy2a5	ENSMUSG00000074268
B230317F23Rik	ENSMUSG00000045746
Gm14375	ENSMUSG00000082270
Gm7816	ENSMUSG00000083261
Blm	ENSMUSG00000030528
Trav12-1	ENSMUSG00000096825
Abca2	ENSMUSG00000026944
Gm28905	ENSMUSG00000101621
Trav13-1	ENSMUSG00000076839
Gm3332	ENSMUSG00000100758
Gm2810	ENSMUSG00000082938
Gm6693	ENSMUSG00000099926
Gm11905	ENSMUSG00000082138
Rab7b	ENSMUSG00000052688
Gm42644	ENSMUSG00000105843
Gm37499	ENSMUSG00000103901
Trav14-1	ENSMUSG00000076840
Ms4a4c	ENSMUSG00000024675
Gm43692	ENSMUSG00000105429
Gm13568	ENSMUSG00000085543
Gm20671	ENSMUSG00000093574
0610009E02Rik	ENSMUSG00000086714
Ehd2	ENSMUSG00000074364
Gm2623	ENSMUSG00000106654
Gm12569	ENSMUSG00000061469
Gm43695	ENSMUSG00000105647
Nmur2	ENSMUSG00000037393
Hnf1aos2	ENSMUSG00000086140
Gm2429	ENSMUSG00000104177
Prr14l	ENSMUSG00000054280
Trh	ENSMUSG00000005892
Gm42744	ENSMUSG00000105560
Cog2	ENSMUSG00000031979
Notch1	ENSMUSG00000026923
Gm12239	ENSMUSG00000086020
Gm8935	ENSMUSG00000095661
Gm5692	ENSMUSG00000101024
Dusp22	ENSMUSG00000069255
Mocs1	ENSMUSG00000064120
Gm8939	ENSMUSG00000103950
Nrap	ENSMUSG00000049134
Gm38317	ENSMUSG00000103735
Vill	ENSMUSG00000038775
Gm13176	ENSMUSG00000083407
Spaca3	ENSMUSG00000053184
Gm37813	ENSMUSG00000102815
Gm10230	ENSMUSG00000095546
Prkd2	ENSMUSG00000041187
Gm11804	ENSMUSG00000083023
Adamts3	ENSMUSG00000043635
Ddx3x	ENSMUSG00000000787
Gm43545	ENSMUSG00000106035
Gm6976	ENSMUSG00000100855
Chchd7	ENSMUSG00000042198
Nudt9	ENSMUSG00000029310
Gm37216	ENSMUSG00000102951
Gm17196	ENSMUSG00000090708
Polr2l	ENSMUSG00000038489
Zfp407	ENSMUSG00000048410
Csnk1a1	ENSMUSG00000024576
Fam209	ENSMUSG00000027505
Map3k10	ENSMUSG00000040390
Cdk2ap2	ENSMUSG00000024856
Gm26802	ENSMUSG00000097266
Ccdc162	ENSMUSG00000075225
Gm36070	ENSMUSG00000105708
Gm2092	ENSMUSG00000095321
2310068J16Rik	ENSMUSG00000100084
Gm21871	ENSMUSG00000102487
Gm14303	ENSMUSG00000081344
Gm15672	ENSMUSG00000086873
Gm13423	ENSMUSG00000081648
Cdx4	ENSMUSG00000031326
Hdac6	ENSMUSG00000031161
Tmem52b	ENSMUSG00000030160
Myl10	ENSMUSG00000005474
Prkar1b	ENSMUSG00000025855
4930548K13Rik	ENSMUSG00000086257
Ttc9b	ENSMUSG00000007944
Bco1	ENSMUSG00000031845
1110060G06Rik	ENSMUSG00000105036
Ndufaf1	ENSMUSG00000027305
Olfr1252	ENSMUSG00000100224
Gm13553	ENSMUSG00000085545
Gm37197	ENSMUSG00000104065
Fosb	ENSMUSG00000003545
Fanci	ENSMUSG00000039187
Gm38025	ENSMUSG00000103998
Eif4g3	ENSMUSG00000028760
Clec4n	ENSMUSG00000023349
8430436N08Rik	ENSMUSG00000086070
Tmem236	ENSMUSG00000061531
Gm19353	ENSMUSG00000098492
Gm6558	ENSMUSG00000103499
Sfrp5	ENSMUSG00000018822
Add1	ENSMUSG00000029106
BC065403	ENSMUSG00000097211
Gm13320	ENSMUSG00000083545
Lmx1b	ENSMUSG00000038765
Tfap2c	ENSMUSG00000028640
Lhx5	ENSMUSG00000029595
Gm12524	ENSMUSG00000085318
Pappa	ENSMUSG00000028370
Gm2464	ENSMUSG00000102215
Gm11904	ENSMUSG00000083447
Gm37581	ENSMUSG00000103388
Gm37303	ENSMUSG00000103133
Gm38112	ENSMUSG00000102938
Gm20540	ENSMUSG00000092268
Golga7b	ENSMUSG00000042532
Gm14493	ENSMUSG00000085587
Gm29096	ENSMUSG00000100181
Gm11794	ENSMUSG00000082024
Zfp280d	ENSMUSG00000038535
Mroh3	ENSMUSG00000087230
Gm11795	ENSMUSG00000085630
Napa	ENSMUSG00000006024
Mid1ip1	ENSMUSG00000008035
Gm27199	ENSMUSG00000098649
Gm29095	ENSMUSG00000101176
Pglyrp3	ENSMUSG00000042244
5730435O14Rik	ENSMUSG00000091370
Ppp1r2-ps6	ENSMUSG00000095869
C1qtnf4	ENSMUSG00000040794
Mif-ps3	ENSMUSG00000082826
Gm5511	ENSMUSG00000100615
Nkg7	ENSMUSG00000004612
Zc3h10	ENSMUSG00000039810
Rexo1	ENSMUSG00000047417
Gm2892	ENSMUSG00000079649
Gm38011	ENSMUSG00000104403
Cd320	ENSMUSG00000002308
Gm34274	ENSMUSG00000102847
Gm11902	ENSMUSG00000080958
Gm11901	ENSMUSG00000084163
Mapk14	ENSMUSG00000053436
Gm5248	ENSMUSG00000101966
C2cd4d	ENSMUSG00000091648
Gm11914	ENSMUSG00000082674
A830019P07Rik	ENSMUSG00000094707
Dcaf12	ENSMUSG00000028436
Gm2223	ENSMUSG00000079297
Tpm3-rs2	ENSMUSG00000080175
Kansl1	ENSMUSG00000018412
Gm29585	ENSMUSG00000100548
Gm16576	ENSMUSG00000087543
Gm11911	ENSMUSG00000082977
